Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
Simple Truth Organic® Blue Corn Tortilla Chips,"grains, vegetables",28 g / 1oz / 13 chips,0,"March 28, 2022 9:32 PM (CDT)",Kroger,"ground organic blue corn, organic sunflower oil, sea salt.","vitamin D - 0%
calcium - 20 mg - 2%
Iron - 1 mg - 6%
potassium - 0mg - 0%","Fiber: insoluble fiber, Staple, Stellar FS Ratio (+3), mediocre PS ratio (0.8 <= x < 1), non-gmo, organic, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,6,0.5,2,0,115,2,6,2,Kroger,,N/A,0.8,,,,19,0,large bags (9 servings per bag),0,0,2.57,2,0,https://www.notion.so/update-this-day-to-account-for-change-in-Magnesium-7f251461e6114cfc8207e65b77d74bf6,,,,,,,,,,,,,,"March 21, 2022 11:10 PM","September 27, 2022 3:03 AM",
"Poshi Steamed & Marinated French Beans, Lime & Garlic",vegetables,pouches,0,"June 3, 2022 3:17 AM (CDT)",Thrive Market,,,"Good FS Ratio (1.5 <= x < 3), Poor PS Ratio (<0.8), Staple, Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/french-green-beans-599a060ae3aa4cfcbfe721c7ccd4d518,0,0,2,2,250,0.5,2,2,Poshi,,2,0.09,,,,5,0,pouches (45g),0,0,,,,"https://www.notion.so/french-green-beans-high-sodium-so-pair-with-eggs-and-rice-f7bf0ee99d104465a18e47a79a4d4358, https://www.notion.so/1-French-green-beans-packet-poshi-6ee99927c7384daeb80f063116c47173, https://www.notion.so/1-packet-French-green-beans-7a12fa3527d048bca424326c0d5e4bab, https://www.notion.so/1-French-green-beans-fb8160d253ab45d6949b4fc90d669adf, https://www.notion.so/2-french-beans-db17a2363018464580d6930ff33c33a9",,,,,,,,,,,,,,"March 21, 2022 10:43 PM","June 3, 2022 4:17 AM",
"Poshi Steamed & Marinated Cauliflower, Salt & Black Pepper",vegetables,pouches,0,"March 28, 2022 8:56 PM (CDT)",Thrive Market,,,"Poor PS Ratio (<0.8), Staple, Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/cauliflower-f8a7eda830f54aecbec3c89d584bdf30,0,0,1,0,110,1,0,2,,,N/A,0.42,,,,2,2,pouches (45g),0,0,,,,"https://www.notion.so/cauliflower-1b9a8f5da69b4391a665bea4dc92cc63, https://www.notion.so/caulfilower-50aeff77f9cc435dbd49f7364395e1c4, https://www.notion.so/1-packet-cauliflower-ec58efb3efc24de981c947db82a0ced1, https://www.notion.so/1-poshi-cauliflower-packet-6c13f00c09e24b39a0c89d99b4a25cf9, https://www.notion.so/1-serving-poshi-cauliflower-packet-ef471dde4b04441a9a17b969869d1262, https://www.notion.so/1-cauliflower-packet-cdcceaf7c356476ba93a03ac374abf88, https://www.notion.so/1-cauliflower-poshi-packet-937856e46f1d4f259c48d219dfea2369, https://www.notion.so/1-small-packet-caulfiorlower-e65a1d44cf4d4ef094979ea5425b8cbd",,,,,,,,,,,,,,"March 21, 2022 10:35 PM","April 1, 2022 3:15 PM",
Easy eggs hard boiled eggs,,1 packet (2 eggs),0,"December 11, 2022 5:21 PM (CST)",Munchie (Vanderbilt Campus Dining),,,"Accomodation Food, Staple, Stellar PS Ratio (+3), low sodium protein",https://www.notion.so/Hard-boiled-Egg-packet-9d1723254f3544bfb28aa2278d9b89d4,8,2.5,0,0,125,11,8,4,,,N/A,4.05,,"https://www.notion.so/Breakfast-oatmeal-v1-79606138f75540fb9da8c5094b0641ee, https://www.notion.so/Cereal-banana-protein-bar-egg-v1-efda7e1acec3480a9f48d65a609c584a",,1,1,1 packet (2 eggs),0,10,3,9,0,"https://www.notion.so/eggs-52afae6f9aef4ce499bf9174bb69d501, https://www.notion.so/1-packet-of-eggs-9c0456dc7c3646519ba0043bc8074185, https://www.notion.so/hard-boiled-eggs-rand-d023ff90b44d455f92a9ba3ba21eed0b, https://www.notion.so/hard-boiled-eggs-3a688a461b8f4de5b945fc1e9daebc57, https://www.notion.so/hard-boiled-eggs-8f572a6288184ff6b6ef846644e6a65a, https://www.notion.so/hard-boiled-egg-651bb387cc78437d995d6c8445fa4f3f, https://www.notion.so/hard-boiled-eggs-90e663ef2bee4007bcdd4d7a04b7c93b, https://www.notion.so/1-packet-hard-boiled-egg-ecaf4943e80a4c939ef2241a394e9239, https://www.notion.so/1-packet-hard-boiled-egg-4b4cc6dd6fec4ac88edb873c8b73f1ba, https://www.notion.so/1-packet-hard-boiled-eggs-178f5ca61a884dcb9be713d170eadea3, https://www.notion.so/1-packet-hard-boiled-eggs-e800141ea2ae4d218d44d8b440e49277, https://www.notion.so/1-packet-of-eggs-77eed96f72fe4267976d10ab0708f127, https://www.notion.so/1-packet-hard-boiled-eggs-a8a607c5ae464a00919767faaf5ee545, https://www.notion.so/1-packet-of-eggs-90dd5cf45481411c9ddd42c2a93c3ee9, https://www.notion.so/1-packet-hard-boiled-egg-6ed27045ee074ea783270bbd258c17c2, https://www.notion.so/1-packet-hard-boiled-egg-fcc8b7b41e944a0fb1050e21666db2d9, https://www.notion.so/1-5-hard-boiled-eggs-packets-a699d26e82a44668b0c7661b314dbc1f, https://www.notion.so/0-5-hard-boiled-eggs-packets-145cd4e5df054c578ffd8a065843c5e5, https://www.notion.so/1-packet-hard-boiled-eggs-9b91034bc6b04d20a36dd55476f9484e, https://www.notion.so/2-packets-hard-boiled-eggs-eef2c5e331fc46a98c6660235a3c36ba, https://www.notion.so/2-packets-hard-boiled-eggs-3da130902ace41a99c78815030120113, https://www.notion.so/1-5-packets-hard-boiled-eggs-77f64b355bea49aa8064f85461386c1a, https://www.notion.so/1-5-packets-eggs-60227865111748ff95dd87aede656872, https://www.notion.so/0-5-packets-hard-boiled-eggs-e6be890a44db4ca2b5bbf6be99b78cde",,"Munchie:
- Meal swipe: free (side)
- Meal Money: $1.99 per packet","Vitamin D (82%), vitamin B12 (15%), Choline (59%), iron (14%), lutein and zeaxanthin (530 ug) (up to 6 mg recommended), Vitamin B2 (24%), Vitamin B5 (22%), Vitamin A (14%), vitamin E (20%), phosphorus (21%), folate (49%), iodine (29%), selenium (41%), zinc (9%)",,,,15,24,,24,,,,"March 21, 2022 10:29 PM","December 13, 2022 11:20 PM",2
Munchie cheese plate (fill food data),,plates,0,"March 20, 2022",Munchie (Vanderbilt Campus Dining),,,,,,,,,,,,,,,N/A,N/A,,,,,0,plates,0,0,,,,https://www.notion.so/4-oz-of-cheese-from-cheese-platter-munchie-cheese-plate-is-best-approximate-ffab867d74b243499ab0847a37047943,,,,,,,,,,,,,,"March 20, 2022 5:52 PM","December 7, 2022 1:25 AM",
"Go Raw (pouches) - Organic Sprouted Pumpkin Seeds, Snack Bags","protein, vegetables",1 oz pouch,0,"July 26, 2022 7:13 PM (CDT)","Go Raw, Instacart, Thrive Market, Walmart","Organic Sprouted Pumpkin Seeds, Sea Salt",,"Accomodation Food, Good PS Ratio (1.5 <= x < 3), Soaked/sprouted, Staple, Strength: Magnesium, Thrive Values: Keto, Thrive Values: Made in USA, Thrive Values: Organic, Thrive values: vegan, Thrive values: vegetarian, easy to digest, low sodium protein, snacks",https://www.notion.so/Pumpkin-seeds-bfa8df7d804e4355ab226e1ad0f9fa78,13,2.5,3,0,135,8,10,0,Go Raw,,N/A,2.73,,,,4,0,box of 12 bags,0,0,40,20,0,"https://www.notion.so/pumkin-seeds-520728ab9f4f42e0939fcabc6dbef7a2, https://www.notion.so/b5183097c2974a41a22d05d0cbcafd1a, https://www.notion.so/0-5-serving-pumpkin-seeds-d7559b1e03384ca290b32551248bc76c, https://www.notion.so/2-packets-of-pumpkin-seeds-b228b8b9ba594d66ab6452a562e45ce3, https://www.notion.so/2-serving-pumpkin-seeds-7627b07985a146348de6f4359ae50f2c, https://www.notion.so/2-pumpkin-seeds-57c22e478a154839b505620369755888, https://www.notion.so/1-pumpkin-seeds-packets-667a411d21e347a8ab41ac1e55af1d95, https://www.notion.so/2-serving-pumpkin-seeds-849306c4225f4584899c29a8433ecc72, https://www.notion.so/2-pumpkin-seeds-dd93a2d62f12427898aa4a25857b3b64, https://www.notion.so/2-pumpkin-seed-packets-7e04ba8a23ad4247bf06e638a3666101, https://www.notion.so/1-serving-pumpkin-seeds-1f805c20bff04597a7ffcc3d13075100, https://www.notion.so/1-pumpkin-seeds-1c5008f9352a402a81be8472c845cb95, https://www.notion.so/1-4-serving-pumpkin-seeds-ad7cff4405c64f9c9efa4a043b81c78e, https://www.notion.so/1-pumpkin-seed-packet-334d4bf48c704b7b993e523c99107cd9, https://www.notion.so/2-pumpkin-seeds-13e8180cf379496386f6eb7eef0983b3, https://www.notion.so/1-5-pumpkin-seeds-34f4720806f9412bb5b33ac8da01e4a0, https://www.notion.so/1-pumpkin-seed-packet-e087d741cfcb462ca12b89305fe7f2e2, https://www.notion.so/1-pumpkin-seeds-salted-8047104ac4454fdebef9b221868fb282","$13.44 per box →
$1.12 per bag → $0.124 per gram of protein

16.19 per box →
$1.349167 per bag → $0.1686458333 per gram of protein

30% extra off
$12.14 per box →
$1.01167 per bag → $0.1124 per gram of protein ($0.1124077778)",,"vitamin D - 0%
calcium - 0%
Iron - 10%
potassium - 4%",,,,,,,,,,,"March 19, 2022 3:36 AM","December 19, 2022 4:33 AM",4
"Nuttzo Organic Crunchy Power Fuel, Peanut Free","protein, vegetables",2 tbsp - 33g (10 servings per jar),0,"March 17, 2022 9:07 PM (CDT)","Costco, Thrive Market, Walmart","Cashews*†, Almonds*†, Brazil Nuts*†, Flax Seeds*†, Chia Seeds*†, Hazelnuts*†, Pumpkin Seeds*†, Celtic Sea Salt (*indicates Organic, †indicates Dry Roasted)",,"Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive Values: Woman-Founded, Thrive values: vegetarian, great price per gram of protein, low sodium protein, nut butter and seed butter, omega-3, philanthropic company",https://www.notion.so/nut-and-seed-butters-ac4cbb7382df46a89549cb3b4a881bc1,15,2,3,1,45,6,10,4,Nuttzo,,6,6.13,,,,8,0,jars,0,0,,,0,,"A per jar →
B per serving → C per gram of protein

30% extra off
8.62 per jar →
0.862 per serving → 0.1436666667 per gram of protein",Thrive: $8.62 (X retail) per C oz jar on normal day,,,,,,,,,,,,"March 17, 2022 10:05 PM","April 1, 2022 3:28 PM",
Campus Dining - Barley & Vegetable Ragout,"grains, vegetables",5 oz portion (148g),0,"May 29, 2022",Dining Hall (Vanderbilt Campus Dining),"Ingredients:Water, Barley(BARLEY. MAY CONTAIN WHEAT.), Roma Tomatoes, Sliced Mushroom, Carrot, Portobello Mushroom, Diced Celery, Diced Yellow Onion, Oil Olive Canola EVO(CANOLA OIL AND EXTRA VIRGIN OLIVE OIL.), Green Onion, Gluten Free Vegetable Base(RECONSTITUTED VEGETABLE JUICE BLEND (WATER AND CONCENTRATED JUICES OF CARROT, CELERY, TOMATO), MALTODEXTRIN, SALT, SUGAR, ONION JUICE CONCENTRATE, YEAST EXTRACT, CABBAGE JUICE, GARLIC POWDER, MUSHROOM EXTRACT, SPICE, NATURAL FLAVOR.), Minced Garlic, Kosher Salt(SALT), Corn Starch, Ground Black Pepper(BLACK PEPPER), Fresh Thyme, Granulated Garlic(GARLIC), Bay Leaves Whole(WHOLE BAY LEAVE","A serving of brown rice has two grams of fiber, compared to 3 grams of fiber for barley raguSo pair barely ragu with white rice to have the same fiber",has gluten - bad,https://www.notion.so/white-rice-packets-50469ab634a84f94b03849ff4238fad6,2.5,0,3,2,230,2,6,2,,,3,0.4,,,,16,0,serving,6,,,,0,https://www.notion.so/barley-ragout-180edf3ffacd4e46a4eea220af532935,,,,,,,,,,,,,,"March 15, 2022 8:58 PM","July 25, 2022 11:14 PM",
Poshi asparagus,vegetables,pouches,0,"March 28, 2022 8:58 PM (CDT)",Thrive Market,,,"Fiber: soluble fiber, Poor PS Ratio (<0.8), Staple, Stellar FS Ratio (+3), Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, snacks",https://www.notion.so/asparagus-8c0a788cecbf4233bc659d70e3d53030,0,0,1,0.5,95,1,2,0,,,4,0.48,,,,2,0,pouches (1.38oz - 38g),0,0,,,,"https://www.notion.so/poshi-asparagus-815b0dec30f7435bbb1ba9e0f1afa766, https://www.notion.so/1-asparagus-7e76ab0724f6424d88ce402c407677b9, https://www.notion.so/1-poshi-asparagus-packet-3226e2f80bf94e468c08d9530b1d89aa, https://www.notion.so/asparagus-2683fa6d4d654d83acd7aaaa3321e9a5",,,,,,,,,,,,,,"March 14, 2022 11:05 PM","April 1, 2022 3:15 PM",
Campus Dining scrambled eggs - 4 oz portion  (124g),protein,4 oz portion  (124g),0,"March 14, 2022 11:23 AM (CDT)",Dining Hall (Vanderbilt Campus Dining),,"protein equivalent to 3 eggs, so 3 eggs must be used in this.","Staple, low sodium protein",https://www.notion.so/scrambled-eggs-50cf6ea2319e4cd4862b3b761b854ef1,21,8,0,2,230,17,20,8,,,0,3.4,,,,3,0,4 oz portion  (124g),4,59.25,4.5,13.5,,"https://www.notion.so/scrambled-eggs-0db8770148ed480bad1ec983499fd73f, https://www.notion.so/scrambled-eggs-3dd1412b5bbb4115b37a2a12638cfe63, https://www.notion.so/scrambled-eggs-59bc595eac8141cfa01cbf072b9c8217, https://www.notion.so/scrambled-eggs-463f2b8332b649279509a6bc40f8f975, https://www.notion.so/1-5-scoops-scrambled-eggs-110g-b5dc3b0c7ef849779855d4de65fcb9d2, https://www.notion.so/71-g-scrambled-eggs-04d4a9ea5b71466ba9b9b9f1268570a6, https://www.notion.so/55g-egg-e8395dbc95954ce4ab58c1de01b90754, https://www.notion.so/140-g-scrambled-eggs-54652e36f3f74b1eb067d74bcb30335f, https://www.notion.so/122-g-scrambled-eggs-c28d69bf0e394dd9ba96c800d6ad3452, https://www.notion.so/71-g-scrambled-eggs-3b4448b07e7e4d778476c3e7b4496da8, https://www.notion.so/81g-scrambled-eggs-e101c9636f6646198d4cf3d8f58336eb, https://www.notion.so/124g-scrambled-eggs-13bd9031414e4c36afecc82e4bfebe13, https://www.notion.so/132g-scrambled-eggs-2e12920c44a543a8ad8db0a6c03f9d07, https://www.notion.so/1-serving-scrambled-eggs-9db94381624447a19dc63b4a976f273e, https://www.notion.so/3-serving-scrambled-egg-0c4cebed340946bf99784e1a324f5713, https://www.notion.so/dfef4e7aef8940e695b7bf6d69272cd9, https://www.notion.so/1-5-serving-scrambled-eggs-c86e6de908a64bff92d1c718d3b88e8f, https://www.notion.so/1-3-egg-omelette-1-5-packets-of-hard-eggs-1-serving-scrambled-eggs-1a6e8c4e4c4e4a2f8a6f4bb88f25896e, https://www.notion.so/1-serving-scrambled-eggs-f78fce5596824971b67c3c5ed9ad4bf0, https://www.notion.so/1-serving-scrambled-eggs-12dbc68290864f1f8102bd3e369a665b, https://www.notion.so/0-5-serving-scrambled-eggs-425e65d16be54d1397e7debae7ca0525, https://www.notion.so/0-5-serving-eggs-campus-is-placeholder-for-camp-which-is-3x-the-sodium-295df832b6194e2c854b3469cebe7e98, https://www.notion.so/0-5-scrambled-eggs-694f6e4e7cf744f3b05b6fb188264e29, https://www.notion.so/1-serving-camp-eggs-857bf19756854b82a5b18c80ee00f128, https://www.notion.so/2-3-serving-scrambled-eggs-781e044ebd944a1cb2c8d8cb82a91a38",,,"vitamin A (80%), vitamin C (4%), calcium (8%), iron (20%)",,,,,,,,,,,"March 14, 2022 12:22 PM","April 9, 2022 7:56 PM",
California Club,"grains, protein, vegetables",club,0,"April 19, 2022 5:30 AM (CDT)",Mellow Mushroom (TON),"“Served with chilled chicken, roasted tomatoes, applewood-smoked bacon, seasoned smashed avocado and garlic aioli on multigrain ciabatta.”",,"Ok PS Ratio (1 <= x < 1.5), Stellar FS Ratio (+3), Tastes Of Nashville (TON), restaurant",https://www.notion.so/sandwiches-5a3588cd3d244a1cb3bd0fa91aab31a1,35,10,9,2,1320,34,,,,,9,1.18,,,,56,0,,0,0,,,,,,,,,,,,,,,,,,"March 12, 2022 10:15 PM","April 19, 2022 6:30 AM",
Avocado Hoagie (half hoagie),vegetables,half of a hoagie,0,"June 6, 2022 7:23 PM (CDT)",Mellow Mushroom (TON),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/sandwiches-5a3588cd3d244a1cb3bd0fa91aab31a1,25,6,5,5,680,13,,,,,2,0.88,,,,48,,,0,0,,,,,,,,,,,,,,,,,,"March 12, 2022 7:14 PM","June 6, 2022 8:23 PM",
Thrive Market Organic Pumpkin Seeds,"protein, vegetables",16 oz pouch (bag),0,"March 11, 2022 10:08 PM (CST)",Thrive Market,Organic Shelled Pumpkin Seeds.,,"Accomodation Food, Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3), Strength: Magnesium, Thrive Values: Keto, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Whole30, Thrive values: vegan, Thrive values: vegetarian, easy to digest, low sodium protein, snacks",https://www.notion.so/Pumpkin-seeds-bfa8df7d804e4355ab226e1ad0f9fa78,13,2,3,0,0,8,15,0,Thrive Market,,N/A,N/A,,,,5,0,16 oz pouch (bag),0,0,35,,0,https://www.notion.so/1-serving-Pumpkin-seeds-94440ab22c184c9d8c819611d3b56bfa,"$8.99 per bag →
$0.5993 per serving → $0.074916 per gram of protein

",,,,,,,,,,,,,"March 11, 2022 11:07 PM","December 3, 2022 12:46 AM",6
"Thrive Market Non-GMO Blue Corn Tortilla Chips, Sea Salt","grains, vegetables",15 chips (1 oz / 28 g),0,"December 13, 2022 3:57 PM (CST)",Thrive Market,"stone ground blue corn, corn oil and/or sunflower oil, sea salt.",,"Good PS Ratio (1.5 <= x < 3), Staple, Stellar FS Ratio (+3), Thrive Values: Non-GMO, Thrive Values: gluten-free, Thrive values: plant-based, Thrive values: vegan, Thrive values: vegetarian, edit week 45-46, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,7,1,1,0,55,2,4,0,Thrive Market,,N/A,1.67,,,,17,0,large bags (16 servings per bag),0,0,2.57,1.4,0,"https://www.notion.so/tortilla-chips-bd8b4d491f7041c6aaba3e1954eaad59, https://www.notion.so/tortilla-chips-84470f47847d457f9312006e85b9de99, https://www.notion.so/3-serving-tortilla-chips-7bfa0c3973514238a13f27dbdc7d7b28, https://www.notion.so/1-serving-tortilla-chips-bcea61a62a914c2896e593cbbca613b3, https://www.notion.so/1-serving-tortilla-chips-387a063154a64f20897d22520707a386, https://www.notion.so/3-serving-tortilla-chips-ba07bd1e660e4d16a5d3603a842ebbfb, https://www.notion.so/2-servings-tortilla-chips-f7396cf4d1d64e3abc3acfdd2ffaa1fc, https://www.notion.so/tortilla-chips-5-oz-4c657301514d487092edcb21dc93cfd4, https://www.notion.so/1-4-serving-tortilla-chips-6456ce7b5b1345c88f1b3904564727b5, https://www.notion.so/1-serving-tortilla-chips-placeholder-for-regular-plaini-ones-5d57898d129d4b8d90efd6a8bd68b44c, https://www.notion.so/2-servings-tortilla-chips-49cfc3a095bd4601a34a7928239047f2, https://www.notion.so/2-servings-tortilla-chip-94d2a3c328184a059e072dbd61baaba6, https://www.notion.so/40g-blue-tortilla-chips-233ae35c7faa4510b1b95a017d4b9fb9, https://www.notion.so/2-serving-tortilla-chips-c57053607607427880e871b420a7fbd8, https://www.notion.so/1-serving-blue-tortilla-chips-647d4193ea1b40dca05affceb365ce1a, https://www.notion.so/1-tortilla-chips-3d65eb9084974030892278bb523c3361, https://www.notion.so/60g-tortilla-chips-88c639035e3e4b7e8cf2f2ba6f8b3089, https://www.notion.so/4-serving-tortilla-chips-82df148b48134f57897069cd5898dc28, https://www.notion.so/1-8-serving-blue-tortilla-chips-a02fe802031043e4bc38e59b8f28fd98, https://www.notion.so/1-5-2-tortilla-chips-daf53f813bd549f7a3de22c4abb097d7, https://www.notion.so/1-tortilla-chips-c8ae5fd9cf274013ad9e6f3fff5ec882, https://www.notion.so/2-serving-tortilla-chips-5781064bc67c4b3583f693af6a75d8a3, https://www.notion.so/1-serving-tortilla-chips-dd268836a01b46fca448f41d5301506a, https://www.notion.so/1-serving-tortilla-chips-07169d03276f42fea778a3fdb17ef20e",,Thrive: $0.19/oz,,,,,,,,,,,,"March 11, 2022 10:50 PM","December 13, 2022 4:56 PM",
Perfect bar,,Bar,0,"March 11, 2022 1:00 PM (CST)",Starbucks,,,snacks,https://www.notion.so/Breakfast-bars-c90c48680d9040a4b77b3380d387f4a4,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"March 11, 2022 6:36 PM","April 1, 2022 3:28 PM",
"Kirkland Signature Shelled Pistachios, 1.5 lbs","protein, vegetables",one ounce serving (28g - 49 kernels),0,"September 16, 2022 6:47 PM (CDT)",Costco,,PDCAAS: 0.73 (raw) and 0.81 (roasted),"Accomodation Food, Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), PDCAAS score, Staple, Staple: Always Keep Replenished, Strength: Vitamin B1, snacks",https://www.notion.so/nuts-37e254f43167465bbb5b3c5084cee45d,14,1.5,3,2,160,6,6,2,,,3,1.73,,,,8,0,bags (24 servings per bag),0,0,8,10,0,"https://www.notion.so/ee37f46722d445c88074e96a4250ed74, https://www.notion.so/pistachio-73b86a38846a4f3281d2204ad86ab76a, https://www.notion.so/8f2c0585f5cb4f71bb7cb0959737ad2b, https://www.notion.so/pistachios-5oz-67306fb5ac6b4a08b9ac7b26fccdeb2d, https://www.notion.so/1-5-serving-pistachios-cc35542c766f437c8ff3f46909896f67, https://www.notion.so/1-pistachios-105b8665a1514f0a8bd830e0eb548030, https://www.notion.so/1-5-serving-pistachios-manually-de-shelled-b0444588ded44db8a93765d3d1900bc0, https://www.notion.so/1-serving-pistachios-manually-de-shelled-e10650a13fbe407c9cfc252f00bd867d, https://www.notion.so/1-pistachios-de-shelled-3f0a3e6bc85f4e438430bb1e9b294a15",,"Costco (Kirkland brand): $0.79125 per oz
",,,,15,,6,,,20,,4,"March 11, 2022 12:43 PM","December 3, 2022 12:36 AM",
Wonderful roasted and salted pistachios (no shell) - 0.75 oz packet,"protein, vegetables",1 packet (0.75 oz),0,"June 8, 2022 8:31 PM (CDT)","GoPuff, GrubHub, GrubHub - GrubHub convienience store, Vending Machines (Vandy)",,0.73 (raw) and 0.81 (roasted),"Accomodation Food, Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), PDCAAS score, Staple, Staple: Always Keep Replenished, snacks",https://www.notion.so/nuts-37e254f43167465bbb5b3c5084cee45d,10,1,2,2,105,4,4,2,,,2,1.75,,,,6,0,pouches,0,0,,,0,,,"Vending machine: $2.67 per oz
GrubHub: $2.556 per oz
GoPuff: $1.50 per oz (or $1.50*1.3 = $1.95 since fees)
",,,,,,,,,,,,"March 8, 2022 11:17 PM","July 11, 2022 6:32 PM",
Fish Taco,"grains, protein, vegetables",tacos,0,"March 8, 2022 8:24 PM (CST)",Oscar's Taco Shop,"• Corn tortilla
• Extra cilantro, cabbage, and tomatoes
• Add beans and rice and a drink (3.75)",,"Tastes Of Nashville (TON), restaurant",,,,,,,,,,,,N/A,N/A,,,,,0,tacos,0,,,,,,,,,,,,,,,,,,,"March 8, 2022 9:20 PM","April 1, 2022 3:28 PM",
Shrimp Taco,"grains, protein, vegetables",tacos,0,"March 8, 2022 7:44 PM (CST)",Oscar's Taco Shop,"Corn tortilla
extra cabbage
extra cilantro
extra tomatoes
add beans & rice and a drink",,"Tastes Of Nashville (TON), restaurant",,,,,,,,,,,,N/A,N/A,,,,,0,tacos,0,,,,,,,,,,,,,,,,,,,"March 8, 2022 8:43 PM","April 1, 2022 3:28 PM",
(BBQ) Miss Vickie's kettle cooked potato chips - smokehouse BBQ,vegetables,1 bag,0,"March 8, 2022 5:44 AM (CST)","Mellow Mushroom (TON), Sun & Fork (owned by FirstWatch) (TON)",,,"Tastes Of Nashville (TON), favorite - TON, portable, restaurant",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,https://www.notion.so/1-vickies-smoehouse-bbq-chips-313b66d9523b462980b11d6cbb525570,,,,,,,,,,,,,,"March 8, 2022 6:45 AM","June 8, 2022 7:56 PM",
Flackers - Black Sesame & Black Pepper Toasted Seed Crisps,"grains, protein, vegetables",servings (4 servings per bag),0,"September 27, 2022 4:39 PM (CDT)",Thrive Market,"Organic flaxseeds, organic black sesame seeds, organic apple cider vinegar, organic coconut, organic black pepper, sea salt",,"Good PS Ratio (1.5 <= x < 3), Staple, Stellar FS Ratio (+3), Strength: Magnesium, Thrive Values: Keto, Thrive Values: Non-GMO, Thrive Values: Organic, Thrive Values: Paleo, Thrive Values: Woman-Founded, Thrive Values: gluten-free, Thrive values: vegan, Thrive values: vegetarian, easy to digest, snacks",,13,1.5,7,0,130,6,10,10,Doctor in the Kitchen,,N/A,2.12,,,,9,0,4.5 oz bags,0,0,35,,0,,"regular
$4.99 per bag →
$1.25 per serving → $0.2083 per gram of protein

extra 25% off
$3.74 per bag →
$0.935 per serving → $0.1558333333 per gram of protein",$1.25 per serving,,Pantry,,,,,,,,,,"March 7, 2022 11:49 PM","December 3, 2022 12:46 AM",4.7
